100,95.10%,78.34%,88.38%
95,94.68%,76.85%,86.89%
90,94.25%,75.61%,85.19%
85,93.74%,73.90%,83.46%
85,93.74%,73.90%,83.46%
80,93.11%,71.82%,81.17%
75,92.39%,69.99%,78.23%
70,91.46%,67.74%,74.40%
70,91.46%,67.74%,74.40%
65,90.48%,64.75%,70.86%
60,89.31%,61.88%,66.50%
55,88.05%,59.82%,61.57%
50,86.56%,56.54%,56.40%
45,84.58%,53.48%,50.08%
40,82.26%,49.90%,43.46%
35,79.51%,47.08%,37.05%
35,79.51%,47.08%,37.05%
30,76.51%,45.49%,31.76%
25,72.98%,43.50%,26.82%
20,68.79%,41.59%,22.40%
20,68.79%,41.59%,22.40%
15,64.22%,41.57%,19.30%
10,59.58%,43.08%,17.33%
5,54.75%,46.88%,16.31%
-1,98.98%,94.68%,98.60%
